Ball name,14 x 14 ball,Power group,Ball Types,Default setting,Default setting,Default setting,Status while reset is asserted
ENET_MDIO,AA6,NVCC_WAKEUP,GPIO,Alt5,GPIO4.IO[15],Input with PD
ENET2_RD0,AA4,NVCC_WAKEUP,GPIO,Alt5,GPIO4.IO[24],Input with PD
ENET_RD0,Y,NVCC_WAKEUP,GPIO,Alt5,GPIO4.IO[25],Input with PD
ENET2_RD1,Y5,NVCC_WAKEUP,GPIO,Alt5,GPIO4.IO[25],Input with PD
ENET2_RD2,AA5,NVCC_WAKEUP,GPIO,Alt5,GPIO4.IO[26],Input with PD
ENET2_RD3,Y6,NVCC_WAKEUP,GPIO,Alt5,GPIO4.IO[27],Input with PD
ENET_RX_CTL,Y4,NVCC_WAKEUP,GPIO,Alt5,GPIO4.IO[22],Input with PD
ENET_RXC,AA3,NVCC_WAKEUP,GPIO,Alt5,GPIO4.IO[23],Input with PD
ENET2_TD0,T8,NVCC_WAKEUP,GPIO,Alt5,GPIO4.IO[19],Input with PD
ENET_TD0,T8,NVCC_WAKEUP,GPIO,Alt5,GPIO4.IO[19],Input with PD
ENET2_TD1,U8,NVCC_WAKEUP,GPIO,Alt5,GPIO4.IO[18],Input with PD
ENET2_TD2,V8,NVCC_WAKEUP,GPIO,Alt5,GPIO4.IO[17],Input with PD
ENET2_TD3,T10,NVCC_WAKEUP,GPIO,Alt5,GPIO4.IO[16],Input with PD
ENET_TX_CTL,V6,NVCC_WAKEUP,GPIO,Alt5,GPIO4.IO[20],Input with PD
ENET2_TXC,U6,NVCC_WAKEUP,GPIO,Alt5,GPIO4.IO[21],Input with PD
GPIO_IO00,J21,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[0],Input with PD
GPIO_IO01,J20,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[1],Input with PD
GPIO_IO02,K20,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[2],Input with PD
GPIO_IO03,K21,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[3],Input with PD
GPIO_IO04,L17,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[4],Input with PD
GPIO_IO05,L18,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[5],Input with PD
GPIO_IO06,L20,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[6],Input with PD
GPIO_IO06,L20,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[6],Input with PD
GPIO_IO07,L21,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[7],Input with PD
GPIO_IO08,M20,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[8],Input with PD
GPIO_IO09,M21,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[9],Input with PD
